Name,Owner,Stars,Forks,Last Updated,License,URL
butterknife,JakeWharton,25531,4599,2023-09-02T07:41:30Z,Apache License 2.0,https://github.com/JakeWharton/butterknife
toBeTopJavaer,hollischuang,25422,5451,2024-01-03T13:58:24Z,N/A,https://github.com/hollischuang/toBeTopJavaer
SmartRefreshLayout,scwang90,25047,4965,2024-12-04T12:28:17Z,Apache License 2.0,https://github.com/scwang90/SmartRefreshLayout
proxyee-down,proxyee-down-org,24904,4428,2024-07-16T09:22:28Z,Apache License 2.0,https://github.com/proxyee-down-org/proxyee-down
EventBus,greenrobot,24737,4670,2024-02-21T18:18:34Z,Apache License 2.0,https://github.com/greenrobot/EventBus
flink,apache,24616,13547,2025-03-12T13:55:45Z,Apache License 2.0,https://github.com/apache/flink
Hystrix,Netflix,24259,4729,2023-10-17T13:04:47Z,N/A,https://github.com/Netflix/Hystrix
skywalking,apache,24147,6564,2025-03-12T14:40:37Z,Apache License 2.0,https://github.com/apache/skywalking
libgdx,libgdx,23808,6469,2025-03-11T11:16:34Z,Apache License 2.0,https://github.com/libgdx/libgdx
bazel,bazelbuild,23757,4149,2025-03-12T18:29:02Z,Apache License 2.0,https://github.com/bazelbuild/bazel
jenkins,jenkinsci,23727,8975,2025-03-12T17:38:29Z,MIT License,https://github.com/jenkinsci/jenkins
redisson,redisson,23656,5412,2025-03-11T08:48:26Z,Apache License 2.0,https://github.com/redisson/redisson
gson,google,23608,4313,2025-03-01T14:39:54Z,Apache License 2.0,https://github.com/google/gson
Mindustry,Anuken,23457,3038,2025-03-09T14:19:18Z,GNU General Public License v3.0,https://github.com/Anuken/Mindustry
openapi-generator,OpenAPITools,23058,6792,2025-03-12T12:28:21Z,Apache License 2.0,https://github.com/OpenAPITools/openapi-generator
Sentinel,alibaba,22625,8078,2024-10-24T12:34:45Z,Apache License 2.0,https://github.com/alibaba/Sentinel
source-code-hunter,doocs,22542,4165,2025-02-12T14:36:31Z,Creative Commons Attribution Share Alike 4.0 International,https://github.com/doocs/source-code-hunter
FizzBuzzEnterpriseEdition,EnterpriseQualityCoding,22179,771,2024-07-15T08:04:08Z,N/A,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition
ExoPlayer,google,21796,6038,2024-08-07T18:54:48Z,Apache License 2.0,https://github.com/google/ExoPlayer
SmartTube,yuliskov,21737,1173,2025-03-08T15:30:00Z,Other,https://github.com/yuliskov/SmartTube
rocketmq,apache,21599,11798,2025-03-10T08:03:11Z,Apache License 2.0,https://github.com/apache/rocketmq
eladmin,elunez,21540,7380,2025-02-19T02:11:50Z,Apache License 2.0,https://github.com/elunez/eladmin
awesome-system-design-resources,ashishps1,21492,5128,2025-03-04T06:12:46Z,GNU General Public License v3.0,https://github.com/ashishps1/awesome-system-design-resources
Apktool,iBotPeaches,21481,3677,2025-03-11T00:32:56Z,Apache License 2.0,https://github.com/iBotPeaches/Apktool
graal,oracle,20686,1677,2025-03-12T16:27:14Z,Other,https://github.com/oracle/graal
GSYVideoPlayer,CarGuo,20577,4241,2025-02-18T07:09:27Z,Apache License 2.0,https://github.com/CarGuo/GSYVideoPlayer
jdk,openjdk,20566,5744,2025-03-12T19:25:10Z,GNU General Public License v2.0,https://github.com/openjdk/jdk
conductor,conductor-oss,20419,555,2025-03-11T07:36:45Z,Apache License 2.0,https://github.com/conductor-oss/conductor
HikariCP,brettwooldridge,20311,2967,2024-12-13T17:17:35Z,Apache License 2.0,https://github.com/brettwooldridge/HikariCP
DoKit,didi,20287,3144,2025-02-06T03:42:43Z,Apache License 2.0,https://github.com/didi/DoKit
shardingsphere,apache,20115,6792,2025-03-12T11:05:57Z,Apache License 2.0,https://github.com/apache/shardingsphere
Chat2DB,CodePhiliaX,20080,2228,2025-03-05T07:57:52Z,Apache License 2.0,https://github.com/CodePhiliaX/Chat2DB
mybatis-3,mybatis,19988,12922,2025-03-05T02:53:45Z,Apache License 2.0,https://github.com/mybatis/mybatis-3
RxAndroid,ReactiveX,19864,2948,2024-08-07T18:30:28Z,Apache License 2.0,https://github.com/ReactiveX/RxAndroid
dataease,dataease,19539,3486,2025-03-12T17:09:16Z,GNU General Public License v3.0,https://github.com/dataease/dataease
litemall,linlinjava,19521,7254,2025-01-04T11:44:29Z,MIT License,https://github.com/linlinjava/litemall
